#{"t_start": 1626358340.285623, "env_id": "CartPole-v0"}
r,l,t
42.0,42,1.95279
39.0,39,1.955736
33.0,33,1.958018
19.0,19,1.959389
109.0,109,1.967301
12.0,12,1.968377
15.0,15,1.969484
16.0,16,1.97068
64.0,64,1.975176
28.0,28,1.97712
14.0,14,1.978158
35.0,35,1.980723
20.0,20,1.982417
22.0,22,1.984248
12.0,12,1.985317
30.0,30,1.987614
10.0,10,1.988443
18.0,18,1.989934
18.0,18,1.991363
15.0,15,1.992541
39.0,39,1.995453
23.0,23,1.997187
22.0,22,1.998876
34.0,34,2.0014
116.0,116,2.010346
44.0,44,2.013726
27.0,27,2.015838
10.0,10,2.016768
41.0,41,2.020281
18.0,18,2.021727
41.0,41,2.025079
11.0,11,2.026088
41.0,41,2.029241
16.0,16,2.030518
13.0,13,2.031578
41.0,41,2.034875
21.0,21,2.036686
14.0,14,2.037983
52.0,52,2.04207
30.0,30,2.044366
19.0,19,2.0458
22.0,22,2.047423
17.0,17,2.048734
52.0,52,2.05294
35.0,35,2.055631
9.0,9,2.056495
17.0,17,2.05798
78.0,78,2.06407
16.0,16,2.065456
19.0,19,2.067132
16.0,16,2.068613
43.0,43,2.072033
18.0,18,2.073473
34.0,34,2.07624
30.0,30,2.078808
49.0,49,2.082857
40.0,40,2.086575
57.0,57,2.091582
28.0,28,2.094101
24.0,24,2.096268
14.0,14,2.097572
15.0,15,2.09902
28.0,28,2.101405
30.0,30,2.104062
37.0,37,2.107279
38.0,38,2.110666
17.0,17,2.112189
73.0,73,2.118492
32.0,32,2.121267
15.0,15,2.122724
16.0,16,2.124277
34.0,34,2.127208
66.0,66,2.132973
12.0,12,2.134167
11.0,11,2.135235
22.0,22,2.137081
20.0,20,2.138829
20.0,20,2.14076
38.0,38,2.144022
78.0,78,2.150566
23.0,23,2.15347
25.0,25,2.155725
24.0,24,2.158076
62.0,62,2.163189
12.0,12,2.164395
12.0,12,2.165514
31.0,31,2.168954
47.0,47,2.172964
16.0,16,2.1743
104.0,104,2.182519
14.0,14,2.18376
35.0,35,2.187876
42.0,42,2.191635
16.0,16,2.193208
34.0,34,2.196053
30.0,30,2.198537
33.0,33,2.201438
72.0,72,2.207674
48.0,48,2.211596
28.0,28,2.213825
14.0,14,2.215043
14.0,14,2.216235
18.0,18,2.217693
13.0,13,2.218817
55.0,55,2.223266
20.0,20,2.225253
35.0,35,2.228163
82.0,82,2.235339
107.0,107,2.243749
67.0,67,2.248795
15.0,15,2.25003
15.0,15,2.25133
82.0,82,2.257656
49.0,49,2.261344
55.0,55,2.265326
17.0,17,2.266671
19.0,19,2.268192
11.0,11,2.269101
20.0,20,2.270743
42.0,42,2.27396
10.0,10,2.274759
15.0,15,2.275855
23.0,23,2.277605
15.0,15,2.278768
20.0,20,2.280231
28.0,28,2.282269
27.0,27,2.284405
19.0,19,2.285932
24.0,24,2.287861
13.0,13,2.288901
24.0,24,2.290809
15.0,15,2.292016
29.0,29,2.294189
14.0,14,2.295316
20.0,20,2.296826
15.0,15,2.297973
12.0,12,2.298943
42.0,42,2.302022
24.0,24,2.303805
51.0,51,2.30751
21.0,21,2.30903
17.0,17,2.310334
51.0,51,2.313864
14.0,14,2.315069
31.0,31,2.317487
16.0,16,2.318862
13.0,13,2.319861
27.0,27,2.321767
10.0,10,2.322564
19.0,19,2.32399
14.0,14,2.325029
17.0,17,2.326365
14.0,14,2.327394
18.0,18,2.328664
9.0,9,2.32938
30.0,30,2.331824
29.0,29,2.334084
38.0,38,2.33691
18.0,18,2.338294
13.0,13,2.339257
18.0,18,2.340521
13.0,13,2.341459
21.0,21,2.342973
13.0,13,2.343967
62.0,62,2.348633
18.0,18,2.35017
39.0,39,2.353295
60.0,60,2.357443
33.0,33,2.359781
23.0,23,2.361367
48.0,48,2.364804
22.0,22,2.366809
16.0,16,2.368173
37.0,37,2.370945
13.0,13,2.371983
17.0,17,2.373278
14.0,14,2.374318
70.0,70,2.379057
111.0,111,2.387733
11.0,11,2.388697
26.0,26,2.390622
14.0,14,2.391679
46.0,46,2.395
47.0,47,2.398402
17.0,17,2.39986
14.0,14,2.401145
53.0,53,2.405032
34.0,34,2.407495
162.0,162,2.419357
12.0,12,2.420338
16.0,16,2.421512
14.0,14,2.422549
77.0,77,2.427939
35.0,35,2.43066
30.0,30,2.433328
12.0,12,2.434491
11.0,11,2.435829
26.0,26,2.438063
82.0,82,2.443686
16.0,16,2.444891
57.0,57,2.44925
15.0,15,2.450821
29.0,29,2.454144
23.0,23,2.455954
13.0,13,2.457231
18.0,18,2.458556
12.0,12,2.459451
24.0,24,2.461167
9.0,9,2.461955
46.0,46,2.465042
26.0,26,2.46722
14.0,14,2.468924
25.0,25,2.471578
20.0,20,2.473083
16.0,16,2.474296
13.0,13,2.475221
24.0,24,2.47693
38.0,38,2.479574
28.0,28,2.481625
24.0,24,2.483433
12.0,12,2.484377
63.0,63,2.489784
23.0,23,2.491737
11.0,11,2.492567
60.0,60,2.496856
27.0,27,2.498936
29.0,29,2.501119
34.0,34,2.504315
37.0,37,2.506942
22.0,22,2.508584
22.0,22,2.510188
32.0,32,2.512393
51.0,51,2.516765
15.0,15,2.518098
54.0,54,2.522686
36.0,36,2.525454
25.0,25,2.527365
15.0,15,2.528504
12.0,12,2.529461
37.0,37,2.532338
21.0,21,2.534066
41.0,41,2.537582
31.0,31,2.540499
43.0,43,2.544849
10.0,10,2.545685
30.0,30,2.547984
39.0,39,2.551524
36.0,36,2.554549
48.0,48,2.55883
29.0,29,2.561049
23.0,23,2.562802
16.0,16,2.564062
79.0,79,2.570752
47.0,47,2.575356
25.0,25,2.577297
21.0,21,2.578936
77.0,77,2.584968
49.0,49,2.589436
13.0,13,2.590503
13.0,13,2.591601
38.0,38,2.595506
40.0,40,2.598573
56.0,56,2.603454
13.0,13,2.604879
66.0,66,2.610388
15.0,15,2.611564
47.0,47,2.614934
26.0,26,2.617344
27.0,27,2.620156
20.0,20,2.621867
13.0,13,2.623655
13.0,13,2.624749
29.0,29,2.62696
61.0,61,2.6316
50.0,50,2.635902
29.0,29,2.638241
35.0,35,2.641764
25.0,25,2.643753
32.0,32,2.646106
16.0,16,2.647314
20.0,20,2.648807
33.0,33,2.65141
28.0,28,2.65431
27.0,27,2.65652
24.0,24,2.658409
